id,name,region,gender,pathway_summary,qschool_signup_url,official_site_url
ajga,AJGA (American Junior Golf Association),North America,mixed,Premier US junior tour for ages 12-18; performance here drives college recruiting. PBE (Performance Based Entry) status earned through finishes; top juniors invited to AJGA Invitationals and Rolex Tournament of Champions,https://www.ajga.org/membership-application,https://www.ajga.org
hjgt,Hurricane Junior Golf Tour,North America,mixed,Largest multi-day junior tour (ages 8-18); Open / College Prep / Major / Invitational events across the US. Recognized by JGS / Junior Golf Hub / GJGR ranking systems,https://tournaments.hjgt.org/Public/Membership,https://www.hjgt.org
ijgt,IJGT (International Junior Golf Tour),North America & International,mixed,Hosted by IJGA Academy; events across the US plus the Race to Scotland series. Schedule lives on BlueGolf,https://ijgt.com/contact/,https://ijgt.com
fcg,Future Champions Golf (FCG),North America & International,mixed,San Diego-based national junior tour (ages 5-18); National Tour events plus FCG International and Callaway World Championship majors. Junior World Qualifier (JWQ) events feed the Junior World Championship,https://www.futurechampionsgolf.com/memberships/,https://www.futurechampionsgolf.com
uskids-teen,US Kids Golf Teen Series,North America,mixed,Two-day weekend events for ages 13-18 at quality courses nationwide; an affordable step up from local tours with JGS-recognized results,https://tournaments.uskidsgolf.com/tournaments/teen-series,https://tournaments.uskidsgolf.com/tournaments/teen-series
pkbgt,PKBGT (Peggy Kirk Bell Girls Golf Tour),North America,women,The largest girls-only junior tour in the US; Bell National and regional series events plus NB3 National Championship qualifiers. Strong college-recruiting pipeline for female golfers,https://www.pkbgt.org/,https://www.pkbgt.org
met-pga,Met PGA Junior Tour,Northeast US,mixed,Metropolitan PGA section junior tour (NY / NJ / CT); two-day Future Series events plus the Met Junior PGA Championship. A strong regional proving ground for Northeast juniors,https://www.metpgajuniorgolf.com/,https://www.metpgajuniorgolf.com
fcwt,FCWT Junior Golf Tour,North America,mixed,Future Collegians World Tour; college-prep junior events at championship courses in the Northeast and Florida plus a national championship. 2026 schedule posts on BlueGolf,https://fcwt.bluegolf.com/,https://fcwt.bluegolf.com
img-jgt,IMG Academy Junior Golf Tour,North America & International,mixed,IMG Academy's junior tour; events feed the IMG Academy Junior World Championship at Torrey Pines. 2026 schedule posts on Golf Genius,https://www.imgacademy.com/img-academy-junior-golf-tour,https://www.imgacademy.com/img-academy-junior-golf-tour
ljt-texas,Legends Junior Tour (Texas),Texas,mixed,Texas Golf Association's elite junior series for ages 12-18; multi-day ranked events across Texas including the Byron Nelson Junior Championship and Texas Junior Amateur,https://txga.org/ljt-landing-3/,https://txga.org
